ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Time_taken(min),Distance_bet_rest_delivery_km,order_Drinks ,order_Meal ,order_Snack ,vehicle_electric_scooter ,vehicle_motorcycle ,vehicle_scooter 
4607,INDORES13DEL02,37,4.9,24,3.0207366434610647,False,False,True,False,True,False
B379,BANGRES18DEL02,34,4.5,33,20.143736910348597,False,False,True,False,False,True
5D6D,BANGRES19DEL01,23,4.4,26,1.549692932239404,True,False,False,False,True,False
7A6A,COIMBRES13DEL02,38,4.7,21,7.774496620087613,False,False,False,False,True,False
70A2,CHENRES12DEL01,32,4.6,30,6.197897916874956,False,False,True,False,False,True
9BB4,HYDRES09DEL03,22,4.8,26,4.602205335871525,False,False,False,False,True,False
95B4,RANCHIRES15DEL01,33,4.7,40,16.576886807242534,False,True,False,False,False,True
9EB2,MYSRES15DEL02,35,4.6,32,20.164987511903337,False,True,False,False,True,False
1102,HYDRES05DEL02,22,4.8,34,19.94021940160752,False,False,False,False,True,False
CDCD,DEHRES17DEL01,36,4.2,46,10.27146402322994,False,False,True,False,True,False
D987,KOCRES16DEL01,21,4.7,23,6.229376076976667,False,True,False,False,True,False
2784,PUNERES13DEL03,23,4.7,21,13.764305929575334,True,False,False,False,False,True
C8B6,LUDHRES15DEL02,34,4.3,20,2.9277947281095997,False,False,False,False,True,False
DB64,KNPRES14DEL02,24,4.7,41,19.37348408863585,False,False,True,False,False,True
3AF3,MUMRES15DEL03,29,4.5,20,13.740932234405253,False,False,False,True,False,False
3AAB,MYSRES01DEL01,35,4.0,33,6.205589948340002,False,True,False,False,False,True
689B,PUNERES20DEL01,33,4.2,40,16.821191645783845,False,False,True,False,True,False
6F67,HYDRES14DEL01,34,4.9,41,10.738078032534037,False,False,True,False,True,False
C9CF,KOLRES15DEL03,21,4.7,15,4.533895591762387,False,True,False,False,True,False
36B8,PUNERES19DEL02,25,4.1,36,12.23513612361146,False,False,True,False,True,False
5795,RANCHIRES06DEL02,31,4.7,26,19.590994221235338,False,True,False,True,False,False
6C6B,COIMBRES13DEL01,37,5.0,20,1.554950180979803,False,False,True,False,True,False
B816,CHENRES19DEL02,33,4.3,39,20.140905255245308,False,True,False,False,False,True
539B,MUMRES02DEL01,25,4.0,34,6.106736943461254,False,False,False,False,True,False
A1B2,CHENRES01DEL01,29,4.5,15,17.04198395713032,False,True,False,True,False,False
3231,JAPRES16DEL03,27,5.0,18,4.4650683810240395,False,False,True,False,True,False
8BC0,SURRES15DEL03,35,4.3,38,13.66073757837138,True,False,False,False,False,True
2288,BANGRES09DEL03,32,4.0,47,13.94563444308926,False,False,False,False,True,False
3C5E,PUNERES04DEL01,23,4.8,12,16.82479191121949,False,False,False,True,False,False
3E+60,COIMBRES02DEL03,31,4.8,26,4.664630782215899,True,False,False,False,True,False
BFF,SURRES16DEL02,36,4.1,22,7.589769422472331,True,False,False,False,True,False
D936,GOARES15DEL02,26,4.3,21,7.705941974795929,False,False,False,False,True,False
D681,GOARES07DEL01,38,4.9,25,6.164143763345328,True,False,False,False,False,True
2876,RANCHIRES02DEL01,32,3.5,35,17.259376716936664,False,False,True,False,False,True
30C8,PUNERES19DEL02,32,4.6,30,19.8806889061088,True,False,False,False,False,True
B843,PUNERES02DEL01,33,4.9,22,10.706184356730288,False,False,True,False,True,False
B3A0,PUNERES18DEL01,20,4.7,10,6.117369061558013,False,False,True,False,False,True
6531,SURRES08DEL01,20,4.8,19,1.51798712661804,False,True,False,False,False,True
4BDA,HYDRES17DEL02,35,5.0,11,3.06801652533814,False,False,True,False,False,True
9D26,BANGRES17DEL02,26,4.9,11,3.0990100939446292,False,False,False,False,False,True
9B18,BANGRES17DEL01,22,4.8,28,10.846013590626095,False,False,True,False,True,False
5D99,CHENRES11DEL01,35,4.3,33,10.844094035055107,False,False,True,False,True,False
4F0,MUMRES17DEL02,29,4.6,33,12.216194933465744,True,False,False,False,False,True
B796,SURRES17DEL03,37,4.7,52,13.661199383826538,False,False,True,False,True,False
85B4,MUMRES07DEL01,28,4.6,22,16.79799879130621,False,False,True,False,False,True
C644,KOLRES16DEL02,37,4.9,16,3.0227804656534882,False,False,True,False,False,True
6999,MUMRES02DEL03,23,4.9,11,9.1598473686937,True,False,False,True,False,False
63B6,BANGRES05DEL03,27,4.9,25,9.296712100181105,True,False,False,False,False,True
A30B,CHENRES11DEL01,37,4.8,26,6.196805343667927,True,False,False,False,True,False
3556,SURRES09DEL01,33,5.0,18,1.5179748068733323,False,False,True,False,False,True
5554,RANCHIRES15DEL01,31,4.9,16,6.028674005255561,False,False,True,False,True,False
25FD,BANGRES19DEL01,31,4.8,23,17.044988256333504,True,False,False,False,False,True
C1FF,AURGRES20DEL03,25,5.0,15,4.707104052532131,False,False,True,False,True,False
7AC8,COIMBRES14DEL02,28,4.8,36,12.43888855192116,True,False,False,False,True,False
3DA1,SURRES08DEL03,31,4.7,16,9.107220024938373,False,False,True,False,True,False
272D,COIMBRES07DEL03,24,4.7,19,13.994592406584347,False,False,False,False,True,False
DDC5,AGRRES12DEL03,39,4.6,27,13.377332859549806,False,False,True,False,True,False
8E6C,VADRES02DEL02,39,4.2,49,12.552275755914394,False,False,True,False,False,True
B002,JAPRES14DEL01,32,4.5,20,1.4881912567305338,False,False,False,False,False,True
395B,VADRES04DEL03,36,4.7,30,9.414207472710387,False,False,True,False,True,False
8AA2,JAPRES18DEL02,25,4.8,18,11.902753837483976,True,False,False,False,False,True
B55A,MYSRES04DEL03,33,4.9,22,4.654256824131882,True,False,False,False,False,True
73CC,SURRES12DEL01,30,4.4,34,10.624594799022988,True,False,False,False,False,True
BE80,MUMRES04DEL01,33,5.0,24,16.790293751513897,False,False,False,False,True,False
1609,PUNERES02DEL01,36,4.9,17,6.118069582492733,True,False,False,False,False,True
D255,ALHRES07DEL02,21,4.8,14,2.992439854305071,False,True,False,True,False,False
DE72,DEHRES19DEL02,39,4.9,30,7.335684979628153,False,True,False,False,True,False
98AA,VADRES16DEL02,23,4.8,15,3.1380694073889375,False,True,False,False,False,True
273A,VADRES09DEL01,35,4.8,16,6.276138627413788,False,False,False,False,False,True
A258,CHENRES12DEL03,39,4.6,36,13.944598794232533,False,False,True,False,False,True
8B53,SURRES11DEL01,22,4.7,18,6.071959804867507,False,False,False,False,False,True
BBDE,SURRES01DEL01,32,4.6,17,6.071422120848535,False,True,False,False,False,True
5DED,VADRES15DEL02,24,4.8,15,12.552275755914394,False,False,False,False,True,False
1A70,MYSRES14DEL02,29,4.7,17,3.1380694073889375,False,False,False,False,True,False
A9F,BANGRES13DEL01,29,4.6,19,6.1983397369141935,True,False,False,False,False,True
4B7F,HYDRES13DEL03,26,4.7,10,9.204061108012812,False,False,False,False,True,False
C606,BHPRES12DEL02,20,4.5,27,7.845173108613388,True,False,False,False,True,False
